coordinates;name
chr4:3,074,681-3,243,957;HTT
chrX:147,911,919-147,951,125;FMR1
chrX:67,544,021-67,730,619;AR
chr19:45,769,736-45,782,479;DMPK
chr1:149,390,621-149,471,833;NOTCH2NLC
chr9:69,035,752-69,079,076;FXN
chr9:27,546,546-27,573,866;C9orf72
chr6:16,299,112-16,761,460;ATXN1
chr14:23,321,457-23,326,163;PABPN1
chr2:96,184,859-96,208,827;STARD7
chr16:66,427,295-66,482,833;BEAN1
chr1:56,994,778-57,424,060;DAB1
chr21:43,773,950-43,776,308;CSTB
chr16:24,729,651-24,826,218;TNRC6A
chr20:4,686,350-4,701,590;PRNP
chr8:118,197,547-118,621,949;SAMD12
chr3:63,863,867-64,003,462;ATXN7
chr6:170,554,379-170,572,870;TBP
chr5:146,580,742-146,878,757;PPP2R2B
chr1:1,435,690-1,442,882;VWA1
chr10:79,703,227-79,712,758;NUTM2B
chr20:2,652,632-2,658,393;NOP56
chr5:10,353,695-10,440,388;MARCHF6
chr8:104,489,236-104,589,258;LRP12
chr16:87,602,508-87,698,156;JPH3
chrX:25,003,694-25,015,965;ARX
chr12:6,924,463-6,942,321;ATN1
chr4:159,267,737-159,360,169;RAPGEF2
chr12:111,452,214-111,599,315;ATXN2
chr14:92,058,552-92,106,582;ATXN3
chr13:70,107,780-70,171,738;ATXN8OS
chr22:45,671,834-45,845,307;ATXN10
chr3:129,169,569-129,183,922;CNBP
chr19:13,207,274-13,506,460;CACNA1A
chr19:14,477,762-14,496,132;GIPC1
chr4:86,935,011-87,141,039;FMR2
chr4:39,287,456-39,366,362;RFC1
chr14:50,560,145-50,633,045;ATL1
chr17:43,044,295-43,125,364;BRCA1
chr13:32,315,086-32,400,268;BRCA2
chr11:108,223,067-108,369,102;ATM
chr1:93,992,834-94,121,148;ABCA4
chr3:193,593,186-193,697,811;OPA1
chrX:38,269,163-38,327,509;RPGR
chr2:214,931,542-215,138,626;ABCA12
chr1:155,209,934-155,230,371;pGBA
chr16:16,149,565-16,223,494;ABCC6
chrX:153,724,856-153,744,755;ABCD1
chr15:88,803,436-88,875,353;ACAN
chr16:20,536,226-20,576,367;ACSM2B
chr9:133,532,164-133,575,519;ADAMTSL2
chr10:4,987,775-5,003,857;AKR1C2
chr16:5,033,923-5,085,532;ALG1
chr2:111,767,640-111,884,193;ANAPC1
chr16:89,267,630-89,490,561;ANKRD11
chr22:23,180,509-23,318,037;BCR
chrY:22,984,263-23,005,465;BPY2
chr6:31,982,057-32,002,681;C4A
chr6:32,014,795-32,035,418;C4B
chr15:43,628,503-43,648,844;CATSPER2
chr17:36,194,869-36,196,758;CCL3L1
chr17:36,210,924-36,212,878;CCL4L1
chr19:43,353,686-43,363,172;CD177
chrY:25,622,162-25,624,338;CDY1
chrY:18,025,787-18,027,746;CDY2A
chr9:133,061,981-133,071,861;CEL
chr16:55,802,851-55,833,096;CES1
chr2:130,592,165-130,599,575;CFC1
chr2:130,521,222-130,528,603;CFC1B
chr1:196,652,034-196,747,542;CFH
chr1:196,819,731-196,832,189;CFHR1
chr1:196,774,840-196,795,407;CFHR3
chr1:196,888,014-196,918,713;CFHR4
chr22:28,687,743-28,741,820;CHEK2
chr15:32,030,515-32,173,018;CHRNA7
chr4:102,868,992-102,892,807;CISD2
chr1:16,022,036-16,034,050;CLCNKA
chr1:16,040,252-16,057,279;CLCNKB
chr16:30,183,602-30,189,076;CORO1A
chr17:14,069,504-14,208,677;COX10
chr1:207,496,157-207,641,765;CR1
chr22:25,212,564-25,231,870;CRYBB2
chr17:63,894,918-63,896,574;CSH1
chr8:142,872,357-142,879,825;CYP11B1
chr8:142,910,559-142,917,843;CYP11B2
chr6:32,038,415-32,041,644;CYP21A2
chr19:40,843,541-40,850,447;CYP2A6
chr22:42,126,499-42,130,810;CYP2D6
chr19:41,114,432-41,128,381;CYP2F1
chr1:47,137,441-47,149,727;CYP4A22
chrY:23,129,355-23,199,008;DAZ1
chrY:23,219,548-23,289,999;DAZ2
chrY:24,763,069-24,813,492;DAZ3
chr12:31,019,434-31,073,786;DDX11
chr14:24,036,453-24,051,028;DHRS4L1
chr2:231,961,713-232,337,192;DIS3L2
chr5:140,670,794-140,673,576;DND1
chr12:63,558,913-63,668,493;DPY19L2
chr15:45,092,650-45,114,172;DUOX2
chr4:190,173,774-190,175,845;DUX4
chr11:64,305,524-64,316,743;ESRRA
chrX:154,835,792-155,022,723;F8
chr9:93,451,685-93,566,112;FAM120A
chr9:34,723,053-34,729,488;FAM205A
chr3:10,026,437-10,101,932;FANCD2
chr1:149,782,694-149,791,675;FCGR1A
chr1:161,505,430-161,518,558;FCGR2A
chr1:161,663,143-161,678,654;FCGR2B
chr1:161,541,768-161,550,968;FCGR3A
chr1:161,623,196-161,631,963;FCGR3B
chr1:152,302,165-152,325,239;FLG
chr7:128,830,406-128,859,272;FLNC
chr9:116,231-118,417;FOXD4
chr6:108,559,835-108,684,774;FOXO3
chr19:5,842,891-5,851,471;FUT3
chr1:155,234,452-155,244,670;GBA
chr8:21,692,843-21,812,357;GFRA2
chr1:155,749,717-155,859,400;GON4L
chr11:88,504,576-89,063,648;GRM5
chr1:109,687,817-109,693,745;GSTM1
chr7:74,650,231-74,760,692;GTF2I
chr7:74,796,185-74,851,518;GTF2IRD2
chr4:144,109,304-144,140,751;GYPA
chr4:143,996,104-144,019,380;GYPB
chr4:143,870,864-143,905,559;GYPE
chr16:176,680-177,522;HBA1
chr16:172,876-173,710;HBA2
chr11:5,248,269-5,249,857;HBG1
chr11:5,253,188-5,254,781;HBG2
chr16:72,054,505-72,061,055;HP
chr2:128,265,480-128,318,868;HS6ST1
chrY:18,546,720-18,548,592;HSFY1
chr16:70,802,084-71,230,722;HYDIN
chrX:149,476,988-149,505,306;IDS
chr3:129,440,125-129,520,351;IFT122
chrX:154,547,620-154,565,033;IKBKG
chrX:155,997,696-156,010,817;IL9R
chrY:57,184,216-57,197,337;IL9R2
chr19:54,769,793-54,784,322;KIR2DL1
chr19:54,738,513-54,753,052;KIR2DL3
chr19:54,816,468-54,830,778;KIR3DL1
chr7:152,134,925-152,436,003;KMT2C
chr17:41,619,442-41,624,575;KRT17
chr12:52,487,176-52,493,257;KRT6A
chr12:52,446,651-52,452,146;KRT6B
chr12:52,468,516-52,473,805;KRT6C
chr12:52,285,913-52,291,534;KRT81
chr12:52,274,645-52,309,163;KRT86
chr1:225,936,603-225,941,220;LEFTY2
chr6:160,531,482-160,664,275;LPA
chr10:17,809,348-17,911,164;MRC1
chr3:49,683,947-49,689,474;MST1
chr11:1,223,066-1,262,172;MUC5B
chr14:23,381,987-23,408,273;MYH6
chr14:23,412,740-23,435,660;MYH7
chr5:70,968,166-71,025,339;NAIP
chr7:74,774,011-74,789,315;NCF1
chr2:151,485,339-151,734,476;NEB
chrX:5,890,042-6,228,867;NLGN4X
chrY:14,523,746-14,843,726;NLGN4Y
chr17:27,756,766-27,800,529;NOS2
chr1:119,911,553-120,069,662;NOTCH2
chrX:101,832,112-101,857,577;NXF5
chr5:69,492,292-69,558,104;OCLN
chrX:154,144,243-154,159,032;OPN1LW
chrX:154,182,596-154,196,861;OPN1MW
chr1:248,488,589-248,491,113;OR2T5
chr1:65,419-71,585;OR4F5
chr11:4,954,772-4,955,713;OR51A2
chr16:21,663,968-21,760,729;OTOA
chrX:91,779,375-92,623,230;PCDH11X
chr5:141,121,818-141,125,623;PCDHB4
chr16:2,538,021-2,603,188;PDPK1
chr10:97,426,191-97,433,444;PGAM1
chr12:8,914,509-8,941,467;PHC1
chr3:179,148,357-179,240,093;PIK3CA
chr16:2,100,023-2,100,765;PKD1
chr16:14,672,548-14,694,308;PLA2G10
chr17:45,435,900-45,490,721;PLEKHM1
chr6:160,702,244-160,754,097;PLG
chr7:5,970,925-6,009,049;PMS2
chr15:43,533,462-43,584,892;PPIP5K1
chr12:11,351,823-11,355,591;PRB1
chr5:23,507,609-23,528,093;PRDM9
chr3:93,873,051-93,973,896;PROS1
chrY:22,490,397-22,514,637;PRY
chrY:22,071,756-22,096,007;PRY2
chrX:102,937,272-102,938,300;RAB40AL
chr14:35,538,356-35,809,295;RALGAPA1
chr2:108,719,482-108,785,809;RANBP2
chrY:21,511,372-21,549,318;RBMY1A1
chr1:25,362,249-25,420,825;RHCE
chr1:25,272,509-25,330,445;RHD
chr19:32,978,592-33,064,888;RHPN2
chr18:20,946,906-21,111,813;ROCK1
chr15:82,536,750-82,540,457;RPS17
chr11:18,266,264-18,269,977;SAA1
chr5:218,320-257,082;SDHA
chr1:161,314,381-161,363,206;SDHC
chr10:79,610,939-79,615,443;SFTPA1
chr10:79,555,852-79,560,407;SFTPA2
chr19:51,639,478-51,646,825;SIGLEC14
chrX:153,687,926-153,696,588;SLC6A8
chr16:18,804,860-18,926,408;SMG1
chr5:70,925,087-70,953,015;SMN1
chr5:70,049,669-70,077,595;SMN2
chr9:87,914,522-87,923,505;SPATA31C1
chr9:92,031,147-92,115,413;SPTLC1
chr1:206,205,909-206,462,850;SRGAP2
chrX:52,644,061-52,654,900;SSX7
chr17:42,199,176-42,288,633;STAT5B
chr6:31,971,831-31,981,451;STK19
chr15:43,599,563-43,618,800;STRC
chr16:28,605,258-28,610,044;SULT1A1
chr17:31,937,007-32,001,038;SUZ12
chr7:35,202,430-35,254,100;TBX20
chr4:38,796,255-38,804,791;TLR1
chr4:38,822,897-38,856,817;TLR6
chr16:75,536,741-75,556,252;TMEM231
chrX:155,489,011-155,612,952;TMLHE
chr6:32,041,154-32,109,332;TNXB
chr22:37,746,233-37,774,140;TRIOBP
chr8:72,021,250-72,075,584;TRPA1
chrY:9,466,955-9,469,749 ;TSPY1
chr2:178,525,989-178,807,423;TTN
chr12:49,184,795-49,189,080;TUBA1A
chr6:3,223,324-3,227,262;TUBB2B
chr2:233,712,907-233,773,300;UGT1A5
chr4:68,646,597-68,670,652;UGT2B15
chr4:68,537,173-68,576,322;UGT2B17
chr11:67,991,100-68,004,097;UNC93B1
chrY:13,985,772-13,986,473;VCY
chr12:5,948,877-6,124,670;VWF
chr15:53,513,741-53,762,878;WDR72
chrY:17,769,116-17,777,400;XKRY
chr19:57,487,722-57,494,648;ZNF419
chr15:84,748,592-84,806,445;ZNF592
chrX:46,497,727-46,545,441;ZNF674
